,long,lat
0,-94.4708804827823,18.078584193846662
1,-101.30173445594657,25.911382169274585
2,-94.49263848114042,17.659981868276194
3,-105.19824604300658,20.765307995164733
4,-103.86569414192141,19.033727802009505
5,-106.92522842068323,31.250586401490235
6,-115.62271077235036,31.880509497546285
7,-114.83080265664925,30.98301029521045
8,-100.28369748586286,20.778290596111443
9,-100.57042450530227,28.81968014080489
10,-105.62468994623993,29.089147831801473
11,-98.91661970292498,19.77895107085137
12,-110.8510723886247,27.955848297804728
13,-98.30446743055116,25.92427404825973
14,-115.105146771472,32.040154092413836
15,-98.10532138837654,22.729706171928605
16,-98.9866871531974,18.773738038618834
17,-100.92768986256033,25.90591004169459
18,-98.68826372678302,19.637095986316893
19,-100.05775124402064,26.227751483634435
20,-100.47634961214067,25.761467941455056
21,-99.50398745910881,27.283628679165364
22,-111.26466254188527,28.210379655088254
23,-115.49844631736333,31.68696006224461
24,-97.25974928512655,20.42654667295879
25,-113.2853926429041,29.21757063491565
26,-106.14129287743326,29.654061418272974
27,-105.55466001011618,28.833545492401033
28,-101.49227869958915,26.252721205263427
29,-105.888499250888,28.680235399856404
30,-87.1050910526682,21.04745177252306
31,-95.84214405202835,18.673808835672
32,-101.86177494201655,20.476126220262373
33,-101.11364051271273,19.79222141566381
34,-106.33688118667865,28.827856437342923
35,-101.39420376638009,20.84861079636121
36,-105.64167682799308,28.765173726641457
37,-104.95304125817383,21.434030211192688
38,-98.77149174784995,19.520479853753326
39,-105.33932892695377,28.9285036120738
40,-115.3514398679118,31.18074275768651
41,-101.37527999611535,19.586224840258154
42,-106.25687009563946,29.699697323762884
43,-103.56682247920482,25.30887279315077
44,-98.54043406771146,26.11147769142336
45,-94.32614821859757,17.748269372881488
46,-103.23297953195028,20.386434369144386
47,-106.13532912042152,28.64571568963915
48,-101.58075973048622,21.006314781356277
49,-99.05583089897296,18.800516329392742
50,-99.40987153882146,19.187798138416795
51,-98.70255859705009,19.95297201385677
52,-98.24698027125709,21.747866635048915
